BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION
0,10000,60000,100000,HomeImp,Other,5,1,1,100,1,10,35,22040,miss none,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,1,1,100,1,10,35,22040,miss mortdue,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,1,1,100,1,10,35,22040,miss value,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,,1,1,100,1,10,35,22040,miss yoj,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,5,,1,100,1,10,35,22040,miss derog,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,5,1,,100,1,10,35,22040,miss delinq,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,5,1,1,,1,10,35,22040,miss clage,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,5,1,1,100,,10,35,22040,miss ninq,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,5,1,1,100,1,,35,22040,miss clno,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,5,1,1,100,1,10,,22040,miss debtinc,New York,Middle Atlantic,Northeast
0,10000,,,HomeImp,Other,5,1,1,100,1,10,35,22040,miss mortdue+value,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,,1,1,100,1,10,35,22040,miss mortdue+yoj,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,,1,100,1,10,35,22040,miss mortdue+derog,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,1,,100,1,10,35,22040,miss mortdue+delinq,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,1,1,,1,10,35,22040,miss mortdue+clage,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,1,1,100,,10,35,22040,miss mortdue+ninq,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,1,1,100,1,,35,22040,miss mortdue+clno,New York,Middle Atlantic,Northeast
0,10000,,100000,HomeImp,Other,5,1,1,100,1,10,,22040,miss mortdue+debtinc,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,,1,1,100,1,10,35,22040,miss value+yoj,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,,1,100,1,10,35,22040,miss value+derog,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,1,,100,1,10,35,22040,miss value+delinq,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,1,1,,1,10,35,22040,miss value+clage,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,1,1,100,,10,35,22040,miss value+ninq,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,1,1,100,1,,35,22040,miss value+clno,New York,Middle Atlantic,Northeast
0,10000,60000,,HomeImp,Other,5,1,1,100,1,10,,22040,miss value+debtinc,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,,,1,100,1,10,35,22040,miss yoj+derog,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,,1,,100,1,10,35,22040,miss yoj+delinq,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,,1,1,,1,10,35,22040,miss yoj+clage,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,,1,1,100,,10,35,22040,miss yoj+ninq,New York,Middle Atlantic,Northeast
0,10000,60000,100000,HomeImp,Other,,1,1,100,1,,35,22040,miss yoj+clno,New York,Middle Atlantic,Northeast
