BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION
0,100,42000,396000,HomeImp,Other,4.6,10,0,600.852279,0,0,12.006382,20180,o'fallon,Florida,South Atlantic,South
1,100,8500,855909,DebtCon,Office,18.5,0,1,540.988114,1,54,,21553,mc.henry-on/the (lake)  shores,Wisconsin,East North Central,Midwest
0,1000,215000,20000,DebtCon,,17.2,4,0,932.068978,2,22,,22612,boise,Arizona,Mountain,West
0,11500,306400,383000,DebtCon,Mgr,7.4,,1,386.204029,2,0,,21400,new york-city,Ohio,East North Central,Midwest
0,100,151250,356500,HomeImp,Other,18.5,3,2,154.837138,1,29,,21828,o'fallon,Georgia,South Atlantic,South
0,1000,221250,855909,HomeImp,ProfExe,3.7,0,5,867.620094,3,0,73.417901,22967,wilkes-barre/scranton,Georgia,South Atlantic,South
0,35400,1829999.63,366000,HomeImp,Mgr,11.6,3,0,968.793565,0,,,22735,springfield,Massachusetts,New England,Northeast
1,1000,75500,855909,DebtCon,Office,23.7,3,15,,0,23,29.999999,21954,o'fallon,Pennsylvania,Middle Atlantic,Northeast
0,1000,513545.4,855909,DebtCon,ProfExe,26.8,2,4,501.759494,1,0,25.14864,22122,springfield,Massachusetts,New England,Northeast
0,3700,38250,41000,HomeImp,Mgr,18,2,0,105.568358,0,26,,20742,new york-city,Alabama,East South Central,South
0,1000,72750,20000,HomeImp,ProfExe,3.4,0,0,582.06784,3,0,84.574111,21935,new york-city,Massachusetts,New England,Northeast
0,77200,16000,20000,,Office,17.2,0,2,852.471589,5,0,29.999999,21828,dallas/fort worth,Connecticut,New England,Northeast
0,65500,52000,855909,DebtCon,,17.7,1,5,391.397214,5,0,112.918493,22834,mc.henry-on/the (lake)  shores,Connecticut,New England,Northeast
1,5200,,,HomeImp,Other,,0,0,1087.5997,0,25,49.999999,22468,dallas/fort worth,Georgia,South Atlantic,South
0,62200,182500,855909,HomeImp,Mgr,38.3,4,,1082.925571,,3,40.000001,21003,springfield,Colorado,Mountain,West
0,1000,133200,222000,DebtCon,Other,37.7,2,,1145.324938,1,10,168.184638,20550,new york-city,Missouri,West North Central,Midwest
0,100,98000,294000,,Other,31.9,4,4,1127.35529,1,0,29.999999,22739,st. petersburg,New York,Middle Atlantic,Northeast
0,100,1562499.69,312500,DebtCon,Other,6.1,1,1,316.580266,2,16,120.676092,20267,port  saint  lucie,Illinois,East North Central,Midwest
0,63700,162750,44000,DebtCon,Other,24.7,0,1,668.558372,17,22,30,21024,port  saint  lucie,Texas,West South Central,South
0,1000,82750,57000,DebtCon,Other,,10,2,,17,,88.01384,20978,st. petersburg,Illinois,East North Central,Midwest
0,100,262000,,,Other,5.5,0,3,597.791008,1,42,,22681,raleigh (research triangle),Connecticut,New England,Northeast
0,27900,,,HomeImp,Sales,5.1,1,0,177.280391,3,0,37.655292,20642,port  saint  lucie,Arizona,Mountain,West
1,1000,226500,,,Other,22.7,0,15,689.859967,0,68,50,20655,o'fallon,Louisiana,West South Central,South
1,1000,,20000,DebtCon,Other,29.1,0,0,329.305875,5,0,,20163,springfield,Oregon,Pacific,West
